time;gFx;gFy;gFz;TgF
1,579332;-0,1124;0,0740;1,0503;1,059
1,584580;-0,1004;0,0796;1,0593;1,067
1,589501;-0,0904;0,0840;1,0676;1,075
1,594640;-0,0823;0,0894;1,0718;1,079
1,606932;-0,0760;0,0941;1,0786;1,085
1,607862;-0,0643;0,1004;1,0823;1,089
1,611626;-0,0584;0,1060;1,0823;1,089
1,614535;-0,0518;0,1131;1,0798;1,087
1,619680;-0,0462;0,1173;1,0762;1,084
1,624656;-0,0462;0,1217;1,0754;1,083
1,629623;-0,0469;0,1200;1,0674;1,075
1,634882;-0,0535;0,1192;1,0581;1,066
1,639742;-0,0621;0,1175;1,0491;1,057
1,644833;-0,0696;0,1160;1,0420;1,051
1,651554;-0,0782;0,1109;1,0346;1,043
1,655027;-0,0855;0,1063;1,0280;1,037
1,659871;-0,0914;0,0989;1,0192;1,028
1,664909;-0,0911;0,0950;1,0156;1,024
1,669870;-0,0921;0,0958;1,0141;1,023
1,674888;-0,0904;0,0938;1,0141;1,022
1,679951;-0,0858;0,0916;1,0151;1,023
1,685159;-0,0789;0,0892;1,0129;1,020
1,689935;-0,0738;0,0867;1,0112;1,018
1,694988;-0,0657;0,0836;1,0085;1,014
1,704362;-0,0608;0,0809;1,0158;1,021
1,705147;-0,0542;0,0784;1,0200;1,024
1,710183;-0,0484;0,0770;1,0249;1,029
1,715060;-0,0420;0,0718;1,0256;1,029
1,720221;-0,0357;0,0701;1,0239;1,027
1,725201;-0,0296;0,0657;1,0229;1,025
1,730448;-0,0274;0,0667;1,0227;1,025
1,735196;-0,0213;0,0660;1,0280;1,030
1,740265;-0,0132;0,0657;1,0376;1,040
1,745360;-0,0076;0,0662;1,0486;1,051
1,750313;-0,0007;0,0669;1,0588;1,061
1,755271;0,0037;0,0660;1,0659;1,068
1,760456;0,0061;0,0657;1,0715;1,074
1,765529;0,0103;0,0684;1,0718;1,074
1,770421;0,0117;0,0716;1,0706;1,073
1,775529;0,0134;0,0752;1,0703;1,073
1,780534;0,0171;0,0836;1,0662;1,070
1,785935;0,0244;0,0858;1,0615;1,065
1,790557;0,0310;0,0892;1,0515;1,056
