time;gFx;gFy;gFz;TgF
1,727287;0,1678;0,5507;0,7752;0,966
1,732742;0,1737;0,5558;0,7945;0,985
1,749269;0,1881;0,5612;0,8082;1,002
1,750044;0,2067;0,5612;0,8350;1,027
1,750340;0,2243;0,5665;0,8639;1,057
1,753478;0,2340;0,5734;0,8920;1,086
1,771376;0,2389;0,5727;0,9135;1,104
1,772562;0,2402;0,5709;0,9227;1,111
1,772980;0,2424;0,5663;0,9203;1,107
1,773344;0,2392;0,5695;0,9120;1,101
1,777542;0,2306;0,5746;0,9083;1,099
1,782890;0,2221;0,5797;0,9174;1,108
1,789477;0,2177;0,5805;0,9181;1,108
1,792536;0,2140;0,5805;0,9235;1,112
1,797905;0,2172;0,5822;0,9232;1,113
1,802658;0,2206;0,5846;0,9291;1,120
1,808098;0,2262;0,5885;0,9386;1,131
1,812867;0,2301;0,5915;0,9440;1,138
1,817911;0,2406;0,5986;0,9452;1,144
1,823498;0,2507;0,6044;0,9457;1,150
1,827969;0,2560;0,6115;0,9374;1,148
1,832887;0,2614;0,6181;0,9281;1,145
1,846704;0,2624;0,6179;0,9056;1,127
1,847271;0,2670;0,6232;0,8812;1,112
1,847833;0,2607;0,6303;0,8568;1,095
1,866723;0,2492;0,6362;0,8455;1,087
1,867391;0,2304;0,6359;0,8404;1,079
1,867991;0,2187;0,6303;0,8389;1,072
1,868540;0,2086;0,6244;0,8382;1,066
1,876768;0,1979;0,6210;0,8433;1,066
1,878109;0,1871;0,6208;0,8485;1,068
1,883032;0,1862;0,6208;0,8585;1,076
1,888504;0,1937;0,6208;0,8810;1,095
1,893091;0,2086;0,6188;0,9105;1,121
1,898003;0,2211;0,6139;0,9438;1,147
1,904382;0,2223;0,6100;0,9604;1,159
1,908174;0,2130;0,6059;0,9665;1,160
1,913431;0,1952;0,5993;0,9723;1,159
1,918361;0,1683;0,5917;0,9760;1,154
1,924330;0,1346;0,5873;0,9758;1,147
1,928748;0,1060;0,5858;0,9660;1,135
1,933637;0,0809;0,5858;0,9438;1,114
1,947252;0,0567;0,5890;0,9074;1,083
1,947965;0,0318;0,5966;0,8648;1,051
1,948422;0,0112;0,6093;0,8258;1,026
1,967474;-0,0127;0,6179;0,7994;1,010
1,968539;-0,0274;0,6257;0,7745;0,996
1,969011;-0,0384;0,6284;0,7527;0,981
1,969817;-0,0342;0,6310;0,7371;0,971
1,977887;-0,0227;0,6213;0,7319;0,960
1,978620;-0,0173;0,6066;0,7346;0,953
1,984265;-0,0161;0,5885;0,7359;0,942
1,989007;-0,0198;0,5687;0,7512;0,942
1,993771;-0,0203;0,5487;0,7808;0,955
1,998861;-0,0134;0,5275;0,8399;0,992
2,006083;0,0061;0,4981;0,9056;1,034
2,009384;0,0357;0,4754;0,9772;1,087
2,014365;0,0672;0,4495;1,0539;1,148
2,019354;0,0943;0,4253;1,1304;1,211
2,024405;0,1060;0,4036;1,1956;1,266
2,029022;0,1090;0,3845;1,2543;1,316
2,034233;0,1060;0,3660;1,2992;1,354
2,047573;0,0982;0,3489;1,3195;1,368
2,048337;0,0892;0,3391;1,3210;1,367
2,048827;0,0862;0,3340;1,3083;1,353
2,067363;0,0833;0,3418;1,2606;1,309
2,068133;0,0772;0,3555;1,1988;1,253
2,068430;0,0672;0,3726;1,1216;1,184
2,068943;0,0559;0,3897;1,0547;1,126
2,077687;0,0484;0,4033;1,0075;1,086
2,079112;0,0430;0,4129;0,9740;1,059
2,084490;0,0491;0,4151;0,9445;1,033
2,089689;0,0657;0,4175;0,9118;1,005
2,094517;0,0882;0,4231;0,8788;0,979
2,099298;0,1053;0,4329;0,8514;0,961
