time;gFx;gFy;gFz;TgF
1,082444;0,0046;0,1510;1,0158;1,027
1,087335;0,0088;0,1476;1,0207;1,031
1,100447;0,0156;0,1473;1,0263;1,037
1,102449;0,0193;0,1493;1,0261;1,037
1,103641;0,0210;0,1507;1,0280;1,039
1,107205;0,0205;0,1522;1,0273;1,039
1,112106;0,0208;0,1502;1,0249;1,036
1,117237;0,0225;0,1490;1,0173;1,028
1,121937;0,0242;0,1524;1,0117;1,023
1,127137;0,0237;0,1522;1,0019;1,014
1,132203;0,0264;0,1527;0,9938;1,006
1,137181;0,0242;0,1551;0,9870;0,999
1,144231;0,0237;0,1568;0,9802;0,993
1,147435;0,0249;0,1583;0,9792;0,992
1,152483;0,0220;0,1581;0,9782;0,991
1,157792;0,0178;0,1578;0,9833;0,996
1,162723;0,0166;0,1564;0,9890;1,001
1,167542;0,0125;0,1568;0,9977;1,010
1,172295;0,0110;0,1573;1,0083;1,021
1,177636;0,0137;0,1564;1,0136;1,026
1,182475;0,0144;0,1571;1,0144;1,027
1,187379;0,0178;0,1593;1,0153;1,028
1,199066;0,0147;0,1581;1,0117;1,024
1,200530;0,0098;0,1568;1,0124;1,025
1,202581;0,0066;0,1595;1,0109;1,023
1,207485;0,0068;0,1583;1,0056;1,018
1,212912;0,0061;0,1578;1,0051;1,017
1,217731;0,0088;0,1583;1,0080;1,020
1,222732;0,0110;0,1564;1,0129;1,025
1,228695;0,0125;0,1546;1,0153;1,027
1,232763;0,0122;0,1549;1,0195;1,031
1,237754;0,0137;0,1539;1,0212;1,033
1,243900;0,0161;0,1542;1,0188;1,030
1,248055;0,0137;0,1542;1,0178;1,029
1,252885;0,0105;0,1522;1,0151;1,026
1,258014;0,0098;0,1515;1,0136;1,025
1,263242;0,0115;0,1515;1,0161;1,027
1,268563;0,0112;0,1524;1,0158;1,027
1,273187;0,0120;0,1517;1,0126;1,024
1,278258;0,0122;0,1529;1,0083;1,020
1,282948;0,0105;0,1524;1,0036;1,015
1,288094;0,0134;0,1493;1,0002;1,011
1,297889;0,0129;0,1495;0,9973;1,008
1,299737;0,0161;0,1529;1,0004;1,012
1,303637;0,0200;0,1573;1,0148;1,027
1,308166;0,0191;0,1554;1,0246;1,037
1,313774;0,0161;0,1520;1,0222;1,034
1,318193;0,0149;0,1480;1,0173;1,028
1,323077;0,0164;0,1512;1,0031;1,015
1,328231;0,0200;0,1571;0,9907;1,003
1,333258;0,0264;0,1593;0,9836;0,997
1,338256;0,0288;0,1608;0,9826;0,996
1,343302;0,0279;0,1630;0,9821;0,996
1,348427;0,0210;0,1605;0,9865;1,000
1,353649;0,0169;0,1603;0,9877;1,001
1,360485;0,0139;0,1573;0,9960;1,008
1,363643;0,0134;0,1568;1,0021;1,014
1,369115;0,0154;0,1571;1,0092;1,021
1,373829;0,0191;0,1583;1,0195;1,032
