time;gFx;gFy;gFz;TgF
2,217193;0,1625;0,4019;0,9159;1,013
2,227959;0,1485;0,4016;0,9159;1,011
2,229524;0,1385;0,3985;0,9208;1,013
2,231849;0,1295;0,3963;0,9274;1,017
2,245769;0,1287;0,3936;0,9281;1,016
2,246978;0,1300;0,3916;0,9325;1,020
2,247323;0,1283;0,3943;0,9374;1,025
2,253441;0,1307;0,3950;0,9445;1,032
2,256693;0,1287;0,3875;0,9523;1,036
2,261931;0,1280;0,3816;0,9701;1,050
2,266527;0,1224;0,3726;0,9892;1,064
2,272051;0,1153;0,3586;1,0039;1,072
2,277026;0,1168;0,3467;1,0246;1,088
2,281909;0,1187;0,3296;1,0459;1,103
2,287236;0,1224;0,3171;1,0635;1,116
2,292764;0,1261;0,3078;1,0786;1,129
2,297039;0,1217;0,2988;1,0935;1,140
2,303714;0,1224;0,2966;1,1199;1,165
2,307041;0,1204;0,2885;1,1414;1,183
2,312092;0,1092;0,2792;1,1600;1,198
2,316862;0,1019;0,2770;1,1746;1,211
2,322351;0,0941;0,2734;1,1829;1,218
2,327282;0,0840;0,2702;1,1844;1,218
2,332345;0,0765;0,2663;1,1844;1,216
2,342835;0,0718;0,2634;1,1800;1,211
2,344426;0,0760;0,2648;1,1741;1,206
2,347312;0,0845;0,2680;1,1705;1,204
2,353442;0,0936;0,2700;1,1727;1,207
2,361089;0,1068;0,2731;1,1705;1,207
2,362318;0,1195;0,2744;1,1636;1,201
2,367505;0,1322;0,2783;1,1607;1,201
2,372564;0,1407;0,2770;1,1526;1,194
2,377539;0,1502;0,2768;1,1377;1,181
2,382269;0,1595;0,2756;1,1116;1,156
2,388386;0,1688;0,2800;1,0869;1,135
2,392704;0,1703;0,2851;1,0642;1,115
2,397615;0,1730;0,2907;1,0429;1,096
2,404373;0,1713;0,2949;1,0249;1,080
2,407882;0,1688;0,2927;1,0029;1,058
2,413141;0,1654;0,2853;0,9804;1,034
